time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 16:30:00,1128.9473834030114,1128.9473834030114,1128.9473834030114,1128.9473834030114,1128.9473834030114,1128.9473834030114,6773.68,6772.98,6614.04,141.37,0.0,production,4,1262.93,1123.82,-8872.69,9.28,-1.3,29.0,1.85,3.35,0.19,0.0,65.85,65.85,6772.98
2024-03-03 16:45:00,950.2111473460488,950.2111473460488,950.2111473460488,950.2111473460488,950.2111473460488,950.2111473460488,5701.27,5700.57,5565.26,118.87,0.0,production,4,1061.93,944.96,-6519.55,8.1,-1.13,29.0,1.85,3.64,0.19,0.0,65.51,65.51,5700.57
2024-03-03 17:00:00,910.03425594719,910.03425594719,910.03425594719,910.03425594719,910.03425594719,910.03425594719,5460.21,5459.51,5346.04,114.1,0.0,production,4,1019.32,907.04,-6062.34,7.84,-1.1,29.0,1.85,3.72,0.18,0.0,65.39,65.39,5459.51
2024-03-03 17:15:00,500.0740117992708,500.0740117992708,500.0740117992708,500.0740117992708,500.0740117992708,500.0740117992708,3000.44,2999.74,2890.86,59.13,0.0,production,4,528.24,470.05,-1863.35,4.46,-0.62,32.0,1.77,5.08,0.17,0.0,61.15,61.15,2999.74
2024-03-03 17:30:00,619.3328762315249,619.3328762315249,619.3328762315249,619.3328762315249,619.3328762315249,619.3328762315249,3716.0,3715.3,3659.0,76.67,0.0,production,4,684.93,609.49,-2982.44,5.64,-0.79,30.0,1.82,4.56,0.18,0.0,63.28,63.28,3715.3
2024-03-03 17:45:00,816.779816740542,816.779816740542,816.779816740542,816.779816740542,816.779816740542,816.779816740542,4900.68,4899.98,4827.0,102.73,0.0,production,4,917.74,816.65,-5030.11,7.21,-1.01,29.0,1.85,3.89,0.18,0.0,65.01,65.01,4899.98
2024-03-03 18:00:00,395.22527429011393,395.22527429011393,395.22527429011393,395.22527429011393,395.22527429011393,395.22527429011393,2371.35,2370.66,2272.69,44.75,0.0,production,4,399.78,355.74,-1109.9,3.38,-0.47,34.0,1.71,5.68,0.17,0.0,58.07,58.07,2370.66
2024-03-03 18:15:00,623.6792816937888,623.6792816937888,623.6792816937888,623.6792816937888,623.6792816937888,623.6792816937888,3742.08,3741.38,3698.74,77.57,0.0,production,4,692.97,616.64,-3045.48,5.7,-0.8,30.0,1.82,4.53,0.18,0.0,63.37,63.37,3741.38
2024-03-03 18:30:00,757.5876063244515,757.5876063244515,757.5876063244515,757.5876063244515,757.5876063244515,757.5876063244515,4545.53,4544.83,4470.99,94.86,0.0,production,4,847.43,754.09,-4364.4,6.75,-0.95,29.0,1.84,4.02,0.18,0.0,64.68,64.68,4544.83
2024-03-03 18:45:00,462.0881584524476,462.0881584524476,462.0881584524476,462.0881584524476,462.0881584524476,462.0881584524476,2772.53,2771.84,2681.42,54.29,0.0,production,4,485.0,431.58,-1592.6,4.11,-0.58,33.0,1.76,5.26,0.17,0.0,60.29,60.29,2771.84
2024-03-03 19:00:00,506.6049984783631,506.6049984783631,506.6049984783631,506.6049984783631,506.6049984783631,506.6049984783631,3039.63,3038.93,2987.23,61.35,0.0,production,4,548.07,487.7,-1993.04,4.61,-0.65,32.0,1.78,5.05,0.17,0.0,61.45,61.45,3038.93
